CRIMINAL_OFFENCE_CODE;STATE_ID;DEFINITION
T11TC;4;Concerning traffic offences, please see below.
T11TC;6;"The police statistics contain no contraventions concerning the traffic code/traffic regulation. This is a separate reporting by the office ""traffic"" of the police. Nevertheless the Penal code contains some articles that refer to traffic and these articles are part of the police statistics. Somme examples:   - malicious obstruction of traffic  - unintentional killing caused by a traffic accident  - undeliberate beating in injuries caused by a traffic accident  - caused a train accident  Also some violations of Special laws are party of the Police statistics, namely,   - Traffic-tax   - regulation concerning transport    Since 2005, there exist also ""mixed offenses"" (vandalism, graffiti, noise by night, ...) If the public Prosecutor decides not to prosecute, those offenses can be punished with a municipal administrative sanction . Those ""mixed offenses"" are included in the Police statistics regardless of the subsequent consequences (legal or administrative)"
T11TC;8;Police statistics exclude all crimes against the Republic of Bulgaria (treason, espionage, etc.), crimes against the country’s defense capacity, military crimes, crimes against peace and humanity, and crimes committed abroad.
T11TC;9;Police ceased to collect data on offences prosecuted by private action or upon request and therefore minor theft and some forms of fraud cannot be included in police statistics.
T11TC;11;in statistics are included all acts that are a criminal offense, proceedings on minor offences are subject to the provisions on administrative proceedings
T11TC;12;Criminal offences is defined as penal law violations and the traffic offences mentioned below. Other offences related to special laws are not included.   Please observe that there is no separate statistics on reported traffic law offences (i.e. police statistics), so the number reported under 'police statistics' concerns all types of penal desision, i.e. including dropped cahrages etc. The same goes for the previous statistics.
T11TC;13;Minor theft and other minor property offences: not possible to give an exact answer. Before 15.03.2007 repeated minor property offences were recorded as crimes. During the period 15.03.2007-27.07.2008 such offences were always defined as misdemeanours. From 28.07.2008 first and second offence are defined as misdemeanaours, and third etc offence is defined as a crime.     Drug-related misdemeanours are excluded, although they are included in 'Drug offences - Total'
T11TC;15;Contraventions of the 5the class (max penalty fine 1500 euros) are included. Convictions for the 1st to 4th classes are excluded since data about these convictions do not come from the same source and do not give any breakdown by specific offences.  Police statistics do not include all criminal offences. Offences linked to economic and administrative policing (labour, consumption, environment customs...) are excluded.
T11TC;17;Police statistics do not count traffic offences.     Conviction statistics in addition to severe road traffic offences (as defined below) also include traffic offences outside road traffic, driving without a motor liability insurance, driving without paying motor vehicle tax and driving without or using wrong number plates.
T11TC;19;Statistics imply the traffic infringements that are crimes.
T11TC;20;only included if subject to proceedings inside the criminal justice system.
T11TC;21;Total recorded criminal offences is not available.
T11TC;23;On the Police Statistics are included all cases that are reported to the Police even if further investigation will find out that it is not an criminal offence.
