state_id;firearm_id;is_allowed
2;1;Y
2;2;Y
2;3;Y
2;4;Y
2;5;Y
2;6;Y
2;7;Y
3;1;Y
3;2;Y
3;3;Y
3;4;Y
3;5;Y
3;6;Y
3;7;Y
3;8;N
3;9;Y
3;10;N
3;11;N
3;12;N
3;13;N
4;1;Y
4;2;Y
4;3;Y
4;4;Y
4;5;Y
4;6;Y
4;7;Y
4;8;Y
4;9;N
4;10;N
4;11;N
4;12;N
4;13;Y
6;1;Y
6;2;Y
6;3;Y
6;4;Y
6;5;Y
6;6;Y
6;7;Y
8;1;Y
8;2;Y
8;3;Y
8;4;Y
8;5;Y
8;6;Y
8;7;Y
8;8;N
8;9;N
8;10;N
8;11;N
8;12;N
8;13;N
9;1;Y
9;2;Y
9;3;Y
9;4;N
9;5;Y
9;6;Y
9;7;Y
9;8;Y
9;9;N
9;10;Y
9;11;N
9;12;Y
9;13;Y
10;1;Y
10;2;Y
10;3;Y
10;4;Y
10;5;Y
10;6;Y
10;7;Y
10;8;Y
10;9;N
10;10;Y
10;11;N
10;12;N
10;13;Y
11;1;Y
11;2;Y
11;3;Y
11;4;Y
11;5;Y
11;6;Y
11;7;Y
11;8;Y
11;9;N
11;10;Y
11;11;N
11;12;N
11;13;Y
12;1;N
12;2;N
12;3;N
12;4;N
12;5;N
12;6;N
12;7;N
12;8;N
12;9;N
12;10;N
12;11;N
12;12;N
12;13;N
14;1;N
14;2;N
14;3;N
14;4;N
14;5;N
14;6;N
14;7;N
14;8;N
14;9;N
14;10;N
14;11;N
14;12;N
14;13;N
15;1;Y
15;2;Y
15;3;Y
15;4;Y
15;5;Y
15;6;Y
15;7;Y
15;8;N
15;9;N
15;10;N
15;11;N
15;12;N
15;13;N
16;1;Y
16;2;Y
16;3;Y
16;4;Y
16;5;Y
16;6;Y
16;7;Y
16;8;Y
16;9;N
16;10;N
16;11;N
16;12;N
16;13;Y
17;1;Y
17;2;Y
17;3;Y
17;4;Y
17;5;Y
17;6;Y
17;7;Y
17;8;N
17;9;N
17;10;N
17;11;N
17;12;N
17;13;N
18;1;Y
18;2;Y
18;3;Y
18;4;Y
18;5;Y
18;6;Y
18;7;Y
18;8;Y
18;9;Y
18;10;Y
18;11;Y
18;12;Y
18;13;Y
19;1;Y
19;2;Y
19;3;Y
19;4;Y
19;5;Y
19;6;Y
19;7;Y
19;8;Y
19;9;Y
19;10;N
19;11;N
19;12;N
19;13;Y
21;1;Y
21;2;Y
21;3;Y
21;4;Y
21;5;Y
21;6;Y
21;7;Y
21;8;Y
21;10;Y
21;13;Y
22;1;Y
22;2;Y
22;3;Y
22;4;Y
22;5;Y
22;6;Y
22;7;Y
22;8;N
22;9;N
22;10;N
22;11;N
22;12;N
22;13;N
23;1;Y
23;2;Y
23;3;Y
23;4;Y
23;5;Y
23;7;Y
23;8;N
23;9;N
23;10;Y
23;11;Y
23;12;Y
23;13;N
25;1;Y
25;2;Y
25;3;Y
25;4;Y
25;5;Y
25;6;Y
25;7;Y
25;8;N
25;9;N
25;10;N
25;11;N
25;12;N
25;13;Y
32;1;Y
32;2;Y
32;3;Y
32;4;Y
32;5;Y
32;6;Y
32;7;Y
32;8;Y
32;9;N
32;10;N
32;11;N
32;12;N
32;13;Y
35;1;Y
35;2;Y
35;3;Y
35;4;Y
35;5;Y
35;6;Y
35;7;Y
36;1;Y
36;2;Y
36;3;Y
36;7;Y
37;1;Y
37;2;Y
37;3;Y
37;4;Y
37;5;Y
37;6;Y
37;7;Y
37;8;Y
37;9;N
37;10;Y
37;11;Y
37;12;Y
37;13;Y
38;1;Y
38;2;Y
38;3;Y
38;4;Y
38;5;Y
38;6;Y
38;7;Y
38;8;N
38;9;N
38;10;N
38;11;N
38;12;N
38;13;N
39;1;Y
39;2;Y
39;3;Y
39;4;Y
39;5;Y
39;6;Y
39;7;Y
39;8;N
39;9;N
39;10;N
39;11;N
40;1;Y
40;2;Y
40;3;Y
40;4;Y
40;5;Y
40;6;Y
40;7;Y
40;8;N
40;9;N
40;10;N
40;11;N
41;1;Y
41;2;Y
41;3;Y
41;4;Y
41;5;Y
41;6;Y
41;7;Y
41;8;N
41;9;N
41;10;N
41;11;N
41;12;N
41;13;N
44;1;Y
44;2;Y
44;3;Y
44;4;Y
44;5;Y
44;6;Y
44;7;Y
44;8;N
44;9;N
44;10;N
44;11;N
44;12;N
46;1;Y
46;2;Y
46;3;Y
46;4;Y
46;5;Y
46;6;Y
46;7;Y
46;8;Y
46;9;Y
46;10;Y
46;11;N
46;12;Y
46;13;Y
47;1;Y
47;2;Y
47;3;Y
47;4;Y
47;5;Y
47;6;Y
47;7;Y
47;8;N
47;9;N
47;10;N
47;11;N
47;12;N
47;13;N
