state_id;drog_id;allowed_limit
11;1;15
11;2;1,5
11;3;1
11;4;0,4
11;5;2
20;1;0
20;2;0
20;3;0
20;4;0
20;5;0
22;1;1
22;2;0,25
22;3;0,75
22;4;0,75
22;5;0,5
6;1;3
17;1;6
17;2;1
17;3;1
17;4;3
13;1;0
13;2;0
13;3;0
13;4;0
13;5;0
39;1;25
39;2;3
39;3;7,5
39;4;2,4
10;1;30
10;2;10
10;3;10
10;4;20
25;1;5
25;2;0,02
25;3;0,2
25;4;0,2
25;5;0,2
19;1;1
19;2;0,6
19;3;2
19;4;1
19;5;0,5
30;1;5
30;2;0,5
30;3;0,5
30;4;0,5
4;1;20
4;2;3
4;3;15
4;4;30
32;1;0
32;2;0
32;3;0
32;4;0
32;5;0
33;1;5
33;2;1
33;3;2
33;4;1
38;1;0
38;2;0
38;3;0
38;4;0
38;5;0
37;1;0
37;2;0
37;3;0
37;4;0
37;5;0
14;1;10
14;2;1
14;3;1,5
14;4;0,8
31;1;10
31;2;0,5
31;3;0,5
31;4;0,4
35;1;6
35;2;0,5
35;3;0,5
35;4;0,3
35;5;0,2
