STATE_ID;CRIMINAL_OFFENCE_CODE;YEAR;COUNT
2;T11TC;2007;10036
3;T11TC;2007;8428
4;T11TC;2007;594240
5;T11TC;2007;
6;T11TC;2007;989742
7;T11TC;2007;
8;T11TC;2007;134685
9;T11TC;2007;75857
10;T11TC;2007;7557
11;T11TC;2007;357391
12;T11TC;2007;445271
13;T11TC;2007;50375
14;T11TC;2007;435824
15;T11TC;2007;3696459
16;T11TC;2007;60519
17;T11TC;2007;6284661
18;T11TC;2007;423442
19;T11TC;2007;426914
20;T11TC;2007;13038
21;T11TC;2007;
22;T11TC;2007;2933146
24;T11TC;2007;
25;T11TC;2007;73741
26;T11TC;2007;
27;T11TC;2007;15005
28;T11TC;2007;
29;T11TC;2007;
30;T11TC;2007;1303835
31;T11TC;2007;313310
32;T11TC;2007;1152993
33;T11TC;2007;400222
34;T11TC;2007;
35;T11TC;2007;3582541
36;T11TC;2007;170596
37;T11TC;2007;110802
38;T11TC;2007;88197
39;T11TC;2007;902058
40;T11TC;2007;1306324
41;T11TC;2007;
43;T11TC;2007;
44;T11TC;2007;401293
2;T11TC;2008;13651
3;T11TC;2008;9271
4;T11TC;2008;572695
5;T11TC;2008;
6;T11TC;2008;991064
7;T11TC;2008;
8;T11TC;2008;126673
9;T11TC;2008;74571
10;T11TC;2008;7328
11;T11TC;2008;343799
12;T11TC;2008;476953
13;T11TC;2008;50977
14;T11TC;2008;440711
15;T11TC;2008;3664245
16;T11TC;2008;44644
17;T11TC;2008;6114128
18;T11TC;2008;420059
19;T11TC;2008;408407
20;T11TC;2008;14578
21;T11TC;2008;
22;T11TC;2008;2709888
24;T11TC;2008;
25;T11TC;2008;78060
26;T11TC;2008;
27;T11TC;2008;13803
28;T11TC;2008;
29;T11TC;2008;
30;T11TC;2008;1277775
31;T11TC;2008;304168
32;T11TC;2008;1082057
33;T11TC;2008;431918
34;T11TC;2008;
35;T11TC;2008;3209862
36;T11TC;2008;173196
37;T11TC;2008;104759
38;T11TC;2008;81917
39;T11TC;2008;941144
40;T11TC;2008;1377854
41;T11TC;2008;
43;T11TC;2008;
44;T11TC;2008;384424
2;T11TC;2009;13100
3;T11TC;2009;14339
4;T11TC;2009;591597
5;T11TC;2009;
6;T11TC;2009;1008327
7;T11TC;2009;
8;T11TC;2009;138105
9;T11TC;2009;73497
10;T11TC;2009;7094
11;T11TC;2009;332829
12;T11TC;2009;491792
13;T11TC;2009;48359
14;T11TC;2009;441416
15;T11TC;2009;3633095
16;T11TC;2009;35949
17;T11TC;2009;6054330
18;T11TC;2009;386893
19;T11TC;2009;394034
20;T11TC;2009;15966
21;T11TC;2009;
22;T11TC;2009;2629831
24;T11TC;2009;
25;T11TC;2009;83203
26;T11TC;2009;
27;T11TC;2009;11953
28;T11TC;2009;
29;T11TC;2009;
30;T11TC;2009;1254480
31;T11TC;2009;314477
32;T11TC;2009;1129577
33;T11TC;2009;427687
34;T11TC;2009;
35;T11TC;2009;2994820
36;T11TC;2009;168091
37;T11TC;2009;104905
38;T11TC;2009;87463
39;T11TC;2009;896561
40;T11TC;2009;1405626
41;T11TC;2009;676309
43;T11TC;2009;
44;T11TC;2009;434678
2;T11TC;2010;15249
3;T11TC;2010;15477
4;T11TC;2010;535745
5;T11TC;2010;
6;T11TC;2010;1010122
7;T11TC;2010;
8;T11TC;2010;147025
9;T11TC;2010;73328
10;T11TC;2010;8387
11;T11TC;2010;313387
12;T11TC;2010;471088
13;T11TC;2010;48340
14;T11TC;2010;431623
15;T11TC;2010;3559930
16;T11TC;2010;34739
17;T11TC;2010;5933278
18;T11TC;2010;333988
19;T11TC;2010;447186
20;T11TC;2010;14911
21;T11TC;2010;
22;T11TC;2010;2621019
24;T11TC;2010;
25;T11TC;2010;77669
26;T11TC;2010;
27;T11TC;2010;13296
28;T11TC;2010;
29;T11TC;2010;
30;T11TC;2010;1194030
31;T11TC;2010;305014
32;T11TC;2010;1151157
33;T11TC;2010;424150
34;T11TC;2010;
35;T11TC;2010;2628799
36;T11TC;2010;163534
37;T11TC;2010;95252
38;T11TC;2010;89489
39;T11TC;2010;871143
40;T11TC;2010;1370399
41;T11TC;2010;656858
43;T11TC;2010;
44;T11TC;2010;500902
2;T11TC;2011;17646
3;T11TC;2011;16572
4;T11TC;2011;540007
5;T11TC;2011;
6;T11TC;2011;1041625
7;T11TC;2011;
8;T11TC;2011;128602
9;T11TC;2011;75620
10;T11TC;2011;8426
11;T11TC;2011;317177
12;T11TC;2011;466765
13;T11TC;2011;42567
14;T11TC;2011;458251
