STATE_ID;YEAR;POPULATION
2;2007;3033998
3;2007;2932618
4;2007;8313737
5;2007;8724243
6;2007;10697572
7;2007;3762786
8;2007;7576672
9;2007;4362426
10;2007;1063713
11;2007;10357538
12;2007;5469921
13;2007;1344296
14;2007;5297739
15;2007;61869227
16;2007;4166867
17;2007;81227830
18;2007;11120358
19;2007;10055653
20;2007;305183
21;2007;4324641
22;2007;58747861
24;2007;2198089
25;2007;3258980
26;2007;474915
27;2007;407852
28;2007;4130136
29;2007;619555
30;2007;16506655
31;2007;4719402
32;2007;38353338
33;2007;10573143
34;2007;21034189
35;2007;143266212
36;2007;9101185
37;2007;5398692
38;2007;2012118
39;2007;45429076
40;2007;9162939
41;2007;7536982
43;2007;69581848
44;2007;46366353
2;2008;3002678
3;2008;2907618
4;2008;8341532
5;2008;8821873
6;2008;10778758
7;2008;3754271
8;2008;7524087
9;2008;4352636
10;2008;1081563
11;2008;10425266
12;2008;5497729
13;2008;1340073
14;2008;5319499
15;2008;62209207
16;2008;4142655
17;2008;81065752
18;2008;11040309
19;2008;10024149
20;2008;310856
21;2008;4415872
22;2008;58922109
24;2008;2171259
25;2008;3212865
26;2008;485405
27;2008;409491
28;2008;4112891
29;2008;621320
30;2008;16568104
31;2008;4771019
32;2008;38356786
33;2008;10595314
34;2008;20829517
35;2008;143248764
36;2008;9060103
37;2008;5399371
38;2008;2023052
39;2008;46068811
40;2008;9236428
41;2008;7622821
43;2008;70418604
44;2008;46158711
2;2009;2973048
3;2009;2888092
4;2009;8372663
5;2009;8924388
6;2009;10859940
7;2009;3735938
8;2009;7473513
9;2009;4341264
10;2009;1098083
11;2009;10488155
12;2009;5526388
13;2009;1336135
14;2009;5342262
15;2009;62542900
16;2009;4119494
17;2009;80899961
18;2009;10959272
19;2009;9991867
20;2009;316062
21;2009;4494576
22;2009;59105625
24;2009;2144785
25;2009;3167265
26;2009;496527
27;2009;411552
28;2009;4098518
29;2009;622939
30;2009;16626373
31;2009;4826848
32;2009;38351916
33;2009;10604056
34;2009;20637991
35;2009;143326913
36;2009;9023357
37;2009;5401153
38;2009;2033804
39;2009;46583565
40;2009;9313087
41;2009;7713989
43;2009;71321399
44;2009;45970941
2;2010;2948023
3;2010;2877319
4;2010;8409949
5;2010;9032461
6;2010;10938739
7;2010;3705472
8;2010;7425008
9;2010;4328165
10;2010;1112612
11;2010;10536518
12;2010;5554844
13;2010;1332101
14;2010;5365782
15;2010;62879530
16;2010;4099099
17;2010;80827002
18;2010;10887637
