criminal_offence_code;code;name
T11TC;DTC11A;minor theft and other minor property offences
T11TC;DTC11C;minor assault and other minor violent offences
T11TC;DTC11E;criminal offences committed by minors
T11TC;DTC11G;major traffic offences (see below)
T11TC;DTC11I;all other criminal offences subject to criminal proceedings
T11TC;DTC11K;all other traffic offences
T11TC;DTC11M;breaches of public order regulations
T11TC;DTC11O;all minor offences subject to proceedings outside the criminal justice system (i.e. misdemeanors, contraventions, wykroczenia, faltas etc.)
T11TT;DTT11A;negligent homicide and negligent injury in road traffic
T11TT;DTT11C;dangerous / reckless driving (i.e.: driving in a way that falls far below what would be expected of a competent and careful driver and is obviously endangering life or health of another person or leads to the danger of serious damage to property)
T11TT;DTT11E;seriously endangering road traffic in other ways (e.g. removing traffic signs, building obstacles, throwing objects onto the motorway)
T11TT;DTT11G;driving under the influence of drugs or alcohol (also see below)
T11TT;DTT11I;driving while impaired for other reasons
T11TT;DTT11K;driving while disqualified or licence suspended / revoked
T11TT;DTT11M;all other cases of driving without a valid licence
T11TT;DTT11O;hit-and-run driving
T11TT;DTT11Q;offences committed outside road traffic (e.g. involving trains, airplanes, ships or boats)
T11TT;DTT11S;driving without an insurance against damage to third parties (motor liability insurance)
T11TT;DTT11U;driving without paying motor vehicle tax
T11TT;DTT11W;driving without or using wrong number plates
T11TT;DTT11Y;driving a motor vehicle that is not roadworthy (if not considered dangerous driving)
T11TT;DTT11AA;speeding (if not considered dangerous driving)
T11TT;DTT11AC;failing to stop at a red traffic light, disregard of right of way, overtaking incorrectly and wrong-way driving (if not considered dangerous driving)
T11TT;DTT11AE;parking violations
T11TT;DTT11AG;all other traffic offences
T11HO;DHO11A;assault leading to death
T11HO;DHO11C;Euthanasia
T11HO;DHO11E;Infanticide
T11HO;DHO11G;Attempts
T11HO;DHO11I;assistance with suicide
T11HO;DHO11K;Abortion
T11HO;DHO11M;negligent killing
T11AS;DAS11A;minor bodily injury
T11AS;DAS11C;aggravated bodily injury
T11AS;DAS11E;bodily injury of a public servant/official
